headline,label
একমাসে কী আন্দোলন করবে বিএনপি,1
৩ দিনের সফরে রংপুরে গেলেন এরশাদ,1
টেকনাফে ১০ হাজার ইয়াবাসহ আটক ১,1
আবারও আমিরাতকে হারাতে চায় বাংলাদেশ,1
‘বিদেশিদের কাছে মায়াকান্না করছে বিএনপি’,1
দেশের বিভিন্ন স্থানে চলছে উন্নয়ন মেলা,1
শের-ই-বাংলা মেডিকেল কলেজের সুবর্ণজয়ন্তি আজ,1
জাতীয় ঐক্যের সমাবেশে বিএনপি নেতারা,1
কমলনগরে সড়ক দুর্ঘটনায় শিশুর মৃত্যু,1
বজ্রপাতে মৃত্যুঝুঁকি হ্রাসে কেশবপুরে পাঁচ লাখ তালের বীজ রোপন,1
খালেদা জিয়ার অনুপস্থিতিতে বিচারকার্য চলবে,1
সাড়ে ৫ ঘণ্টা পর চট্টগ্রামের সঙ্গে ঢাকা ও সিলেটের রেল চালু,1
ট্রাকের ধাক্কায় নর্থ-সাউথের শিক্ষার্থী নিহত,1
রাজশাহীর রাজ্জাক হত্যা মামলার প্রধান আসামি নাটোরে গ্রেফতার,1
খালেদার মামলার পরবর্তী যুক্তি ২৪ সেপ্টেম্বর,1
কেরানীগঞ্জে দুস্থ নারীদের সেলাই প্রশিক্ষণ,1
স্কুলছাত্রকে অপহরণ করে ১০ লাখ টাকা মুক্তিপণ দাবি,1
দিনাজপুরে আধাবেলা পরিবহন ধর্মঘট,1
তাঞ্জানিয়ায় ফেরি ডুবে ৪২ জনের মৃত্যু,1
অভিনেত্রী নওশাবার বিরুদ্ধে প্রতিবেদন ১৪ নভেম্বর,1
মানিকগঞ্জে মাদকবিরোধী অভিযানে আটক ১৮,1
"বাগেরহাটে ২ বাসের মুখোমুখি সংঘর্ষ, নিহত ১",1
শহীদ ময়েজউদ্দিনের ৩৪তম মৃত্যুবার্ষিকী আজ,1
বাগেরহাটে আধিপত্য নিয়ে দ্বন্দ্বে ২ জন নিহত,1
ভারতীয় ব্যবসায়ীদের দ্বন্দ্বে হিলিতে পাথর আমদানি বন্ধ,1
গ্রেনেড হামলার রায় নিয়ে কঠোর অবস্থানে পুলিশ,1
হাতকড়াসহ জামায়াত নেতাকে ‘ছিনিয়ে নিলেন’ আ.লীগ নেতা,1
সিনহা বিচার বিভাগের ভাবমূর্তি নষ্ট করেছেন: অ্যাটর্নি জেনারেল,1
যশোরে মহাসড়ক-আঞ্চলিক সড়কের ফুটপাতে গাড়ি পার্কিং,1
